##NAME: KMOS_Detector_chip3_noise_prob_dist.txt
##DATE: 01-03-14
##TYPE: KMOS detector chip 3 noise properties: 300s dark exposure
##AUTHOR: Simon Zieleniewski
##VERSION: 1.0
##EXTRA: 10x KMOS dark frames (300 s exposure time)
#Total variance, no.of pixels, Variance probability distribution
1.25874e+01,2.32186e+04,8.53138e-01
1.26873e+01,2.28187e+04,8.54974e-01
1.27872e+01,2.24166e+04,8.58598e-01
1.28871e+01,2.17149e+04,8.60358e-01
1.29870e+01,2.09691e+04,8.63792e-01
1.30869e+01,2.04667e+04,8.65444e-01
1.31868e+01,2.00006e+04,8.68691e-01
1.32867e+01,1.96131e+04,8.70270e-01
1.33866e+01,1.92374e+04,8.73384e-01
1.34865e+01,1.87528e+04,8.74899e-01
1.35864e+01,1.82513e+04,8.77871e-01
1.36863e+01,1.78534e+04,8.79311e-01
1.37862e+01,1.74718e+04,8.82143e-01
1.38861e+01,1.70867e+04,8.83522e-01
1.39860e+01,1.67011e+04,8.86232e-01
1.40859e+01,1.63692e+04,8.87551e-01
1.41858e+01,1.60460e+04,8.90149e-01
1.42857e+01,1.56500e+04,8.91413e-01
1.43856e+01,1.52419e+04,8.93893e-01
1.44855e+01,1.49321e+04,8.95097e-01
1.45854e+01,1.46389e+04,8.97467e-01
1.46853e+01,1.42753e+04,8.98620e-01
1.47852e+01,1.38997e+04,9.00882e-01
1.48851e+01,1.35641e+04,9.01978e-01
1.49850e+01,1.32354e+04,9.04128e-01
1.50849e+01,1.28583e+04,9.05169e-01
1.51848e+01,1.24727e+04,9.07205e-01
1.52847e+01,1.22768e+04,9.08192e-01
1.53846e+01,1.21150e+04,9.10144e-01
1.54845e+01,1.18218e+04,9.11098e-01
1.55844e+01,1.15046e+04,9.12972e-01
1.56843e+01,1.12325e+04,9.13878e-01
1.57842e+01,1.09688e+04,9.15660e-01
1.58841e+01,1.06121e+04,9.16520e-01
1.59840e+01,1.02380e+04,9.18198e-01
1.60839e+01,1.01822e+04,9.19013e-01
1.61838e+01,1.01872e+04,9.20637e-01
1.62837e+01,9.96749e+03,9.21441e-01
1.63836e+01,9.70426e+03,9.23020e-01
1.64835e+01,9.42516e+03,9.23783e-01
1.65834e+01,9.14294e+03,9.25275e-01
1.66833e+01,8.99148e+03,9.25999e-01
1.67832e+01,8.86611e+03,9.27428e-01
1.68831e+01,8.62525e+03,9.28126e-01
1.69830e+01,8.36101e+03,9.29491e-01
1.70829e+01,8.19582e+03,9.30151e-01
1.71828e+01,8.05096e+03,9.31453e-01
1.72827e+01,7.83707e+03,9.32087e-01
1.73826e+01,7.60880e+03,9.33328e-01
1.74825e+01,7.43909e+03,9.33928e-01
1.75824e+01,7.28175e+03,9.35108e-01
1.76823e+01,7.21327e+03,9.35686e-01
1.77822e+01,7.16382e+03,9.36835e-01
1.78821e+01,6.98017e+03,9.37399e-01
1.79820e+01,6.76738e+03,9.38504e-01
