##NAME: KMOS_Detector_chip3_noise_prob_dist.txt
##DATE: 01-03-14
##TYPE: KMOS detector chip 3 noise properties: 300s dark exposure
##AUTHOR: Simon Zieleniewski
##VERSION: 1.0
##EXTRA: 10x KMOS dark frames (300 s exposure time)
#Total variance, no.of pixels, Variance probability distribution
5.50448e+01,1.72497e+02,9.93026e-01
5.51447e+01,1.58012e+02,9.93053e-01
5.52446e+01,1.56473e+02,9.93065e-01
5.53445e+01,1.70959e+02,9.93091e-01
5.54444e+01,1.76111e+02,9.93105e-01
5.55443e+01,1.69618e+02,9.93133e-01
5.56442e+01,1.66442e+02,9.93146e-01
5.57441e+01,1.67441e+02,9.93173e-01
5.58440e+01,1.64697e+02,9.93186e-01
5.59439e+01,1.57204e+02,9.93212e-01
5.60438e+01,1.56508e+02,9.93224e-01
5.61437e+01,1.64499e+02,9.93250e-01
5.62436e+01,1.67909e+02,9.93263e-01
5.63435e+01,1.65411e+02,9.93290e-01
5.64434e+01,1.57483e+02,9.93302e-01
5.65433e+01,1.42498e+02,9.93327e-01
5.66432e+01,1.38757e+02,9.93338e-01
5.67431e+01,1.49746e+02,9.93361e-01
5.68430e+01,1.51696e+02,9.93373e-01
5.69429e+01,1.41706e+02,9.93397e-01
5.70428e+01,1.37071e+02,9.93408e-01
5.71427e+01,1.39569e+02,9.93430e-01
5.72426e+01,1.42279e+02,9.93441e-01
5.73425e+01,1.45276e+02,9.93464e-01
5.74424e+01,1.48485e+02,9.93475e-01
5.75423e+01,1.51982e+02,9.93499e-01
5.76422e+01,1.54845e+02,9.93511e-01
5.77421e+01,1.56843e+02,9.93536e-01
5.78420e+01,1.54216e+02,9.93549e-01
5.79419e+01,1.45225e+02,9.93573e-01
5.80418e+01,1.41883e+02,9.93584e-01
5.81417e+01,1.46378e+02,9.93607e-01
5.82416e+01,1.47334e+02,9.93619e-01
5.83415e+01,1.43338e+02,9.93642e-01
5.84414e+01,1.39135e+02,9.93654e-01
5.85413e+01,1.34640e+02,9.93676e-01
5.86412e+01,1.34887e+02,9.93686e-01
5.87411e+01,1.41880e+02,9.93708e-01
5.88410e+01,1.43948e+02,9.93720e-01
5.89409e+01,1.38953e+02,9.93742e-01
5.90408e+01,1.36204e+02,9.93753e-01
5.91407e+01,1.36704e+02,9.93775e-01
5.92406e+01,1.36797e+02,9.93786e-01
5.93405e+01,1.36297e+02,9.93808e-01
5.94404e+01,1.36404e+02,9.93819e-01
5.95403e+01,1.37403e+02,9.93840e-01
5.96402e+01,1.36189e+02,9.93851e-01
5.97401e+01,1.31694e+02,9.93873e-01
5.98400e+01,1.31803e+02,9.93883e-01
5.99399e+01,1.38796e+02,9.93905e-01
6.00398e+01,1.42602e+02,9.93916e-01
6.01397e+01,1.41603e+02,9.93939e-01
6.02396e+01,1.42189e+02,9.93950e-01
6.03395e+01,1.45186e+02,9.93973e-01
6.04394e+01,1.43450e+02,9.93984e-01
6.05393e+01,1.34459e+02,9.94007e-01
6.06392e+01,1.28804e+02,9.94017e-01
6.07391e+01,1.28304e+02,9.94038e-01
6.08390e+01,1.27805e+02,9.94048e-01
6.09389e+01,1.27305e+02,9.94068e-01
6.10388e+01,1.27388e+02,9.94079e-01
6.11387e+01,1.28387e+02,9.94099e-01
6.12386e+01,1.25329e+02,9.94109e-01
6.13385e+01,1.15839e+02,9.94129e-01
6.14384e+01,1.13459e+02,9.94138e-01
6.15383e+01,1.22450e+02,9.94156e-01
6.16382e+01,1.29147e+02,9.94166e-01
6.17381e+01,1.32144e+02,9.94187e-01
6.18380e+01,1.30957e+02,9.94198e-01
6.19379e+01,1.22965e+02,9.94218e-01
6.20378e+01,1.18946e+02,9.94228e-01
6.21377e+01,1.21443e+02,9.94247e-01
6.22376e+01,1.21306e+02,9.94257e-01
6.23375e+01,1.16811e+02,9.94276e-01
6.24374e+01,1.16995e+02,9.94285e-01
6.25373e+01,1.24987e+02,9.94304e-01
6.26372e+01,1.30186e+02,9.94314e-01
6.27371e+01,1.30686e+02,9.94335e-01
6.28370e+01,1.27111e+02,9.94345e-01
6.29369e+01,1.16622e+02,9.94365e-01
6.30368e+01,1.12026e+02,9.94374e-01
6.31367e+01,1.17521e+02,9.94392e-01
6.32366e+01,1.21000e+02,9.94402e-01
6.33365e+01,1.21000e+02,9.94421e-01
6.34364e+01,1.17721e+02,9.94431e-01
6.35363e+01,1.08730e+02,9.94449e-01
6.36362e+01,1.03362e+02,9.94458e-01
6.37361e+01,1.04361e+02,9.94474e-01
6.38360e+01,1.08243e+02,9.94483e-01
6.39359e+01,1.17234e+02,9.94500e-01
6.40358e+01,1.18341e+02,9.94510e-01
6.41357e+01,1.05354e+02,9.94528e-01
6.42356e+01,9.64655e+01,9.94536e-01
6.43355e+01,9.49670e+01,9.94551e-01
6.44354e+01,9.59489e+01,9.94559e-01
6.45353e+01,1.01443e+02,9.94574e-01
6.46352e+01,1.06762e+02,9.94583e-01
6.47351e+01,1.11757e+02,9.94600e-01
6.48350e+01,1.13073e+02,9.94609e-01
6.49349e+01,1.07579e+02,9.94627e-01
6.50348e+01,1.05045e+02,9.94635e-01
6.51347e+01,1.08042e+02,9.94652e-01
6.52346e+01,1.11212e+02,9.94661e-01
6.53345e+01,1.14709e+02,9.94679e-01
6.54344e+01,1.12696e+02,9.94688e-01
6.55343e+01,1.00208e+02,9.94705e-01
6.56342e+01,9.13153e+01,9.94713e-01
6.57341e+01,8.93173e+01,9.94727e-01
6.58340e+01,9.27648e+01,9.94735e-01
6.59339e+01,1.06751e+02,9.94750e-01
6.60338e+01,1.14139e+02,9.94759e-01
6.61337e+01,1.08645e+02,9.94777e-01
6.62336e+01,1.06514e+02,9.94785e-01
6.63335e+01,1.11009e+02,9.94803e-01
6.64334e+01,1.12328e+02,9.94812e-01
6.65333e+01,1.07333e+02,9.94829e-01
6.66332e+01,1.05662e+02,9.94838e-01
6.67331e+01,1.10657e+02,9.94855e-01
6.68330e+01,1.11688e+02,9.94864e-01
6.69329e+01,1.04695e+02,9.94881e-01
6.70328e+01,1.00657e+02,9.94889e-01
6.71327e+01,1.02655e+02,9.94906e-01
6.72326e+01,1.03021e+02,9.94914e-01
6.73325e+01,1.00024e+02,9.94930e-01
6.74324e+01,1.00270e+02,9.94938e-01
6.75323e+01,1.07263e+02,9.94954e-01
6.76322e+01,1.10066e+02,9.94963e-01
6.77321e+01,1.04072e+02,9.94980e-01
6.78320e+01,9.90390e+01,9.94988e-01
6.79319e+01,9.60420e+01,9.95004e-01
6.80318e+01,9.71832e+01,9.95012e-01
6.81317e+01,1.07173e+02,9.95028e-01
6.82316e+01,1.13526e+02,9.95037e-01
6.83315e+01,1.12027e+02,9.95055e-01
6.84314e+01,1.09900e+02,9.95063e-01
6.85313e+01,1.06403e+02,9.95081e-01
6.86312e+01,1.04625e+02,9.95089e-01
6.87311e+01,1.06623e+02,9.95106e-01
6.88310e+01,1.08621e+02,9.95115e-01
6.89309e+01,1.10619e+02,9.95132e-01
6.90308e+01,1.09842e+02,9.95141e-01
6.91307e+01,1.02849e+02,9.95158e-01
6.92306e+01,9.84595e+01,9.95166e-01
6.93305e+01,9.99580e+01,9.95182e-01
6.94304e+01,1.02369e+02,9.95190e-01
6.95303e+01,1.06865e+02,9.95206e-01
6.96302e+01,1.09698e+02,9.95215e-01
6.97301e+01,1.08699e+02,9.95233e-01
6.98300e+01,1.08000e+02,9.95241e-01
6.99299e+01,1.08000e+02,9.95258e-01
7.00298e+01,1.06359e+02,9.95267e-01
7.01297e+01,1.00865e+02,9.95284e-01
7.02296e+01,9.46296e+01,9.95292e-01
7.03295e+01,8.66376e+01,9.95306e-01
7.04294e+01,8.14414e+01,9.95313e-01
7.05293e+01,8.29399e+01,9.95326e-01
7.06292e+01,8.54615e+01,9.95333e-01
7.07291e+01,9.04565e+01,9.95347e-01
7.08290e+01,9.41451e+01,9.95354e-01
7.09289e+01,9.46446e+01,9.95369e-01
7.10288e+01,9.55766e+01,9.95377e-01
7.11287e+01,9.75746e+01,9.95392e-01
7.12286e+01,9.72823e+01,9.95400e-01
7.13285e+01,9.12883e+01,9.95415e-01
7.14284e+01,8.81371e+01,9.95422e-01
7.15283e+01,9.21331e+01,9.95436e-01
7.16282e+01,9.30240e+01,9.95444e-01
7.17281e+01,8.60310e+01,9.95458e-01
7.18280e+01,8.19810e+01,9.95465e-01
7.19279e+01,8.54775e+01,9.95478e-01
7.20278e+01,8.75826e+01,9.95485e-01
7.21277e+01,8.60841e+01,9.95499e-01
7.22276e+01,8.74865e+01,9.95506e-01
7.23275e+01,9.64775e+01,9.95520e-01
7.24274e+01,1.01080e+02,9.95528e-01
7.25273e+01,9.40871e+01,9.95544e-01
7.26272e+01,8.91361e+01,9.95551e-01
7.27271e+01,8.96356e+01,9.95566e-01
7.28270e+01,8.97297e+01,9.95573e-01
7.29269e+01,8.87307e+01,9.95587e-01
7.30268e+01,8.78659e+01,9.95594e-01
7.31267e+01,8.73664e+01,9.95608e-01
7.32266e+01,8.95295e+01,9.95615e-01
7.33265e+01,9.90200e+01,9.95630e-01
7.34264e+01,1.01772e+02,9.95638e-01
7.35263e+01,8.57878e+01,9.95653e-01
7.36262e+01,7.64915e+01,9.95660e-01
7.37261e+01,8.59820e+01,9.95672e-01
7.38260e+01,9.41712e+01,9.95680e-01
7.39259e+01,9.86667e+01,9.95695e-01
7.40258e+01,1.00450e+02,9.95703e-01
7.41257e+01,9.44565e+01,9.95719e-01
7.42256e+01,8.88468e+01,9.95726e-01
7.43255e+01,8.43514e+01,9.95740e-01
7.44254e+01,8.15085e+01,9.95746e-01
7.45253e+01,8.35065e+01,9.95760e-01
7.46252e+01,8.60090e+01,9.95766e-01
7.47251e+01,9.00050e+01,9.95780e-01
7.48250e+01,9.26246e+01,9.95787e-01
7.49249e+01,9.11261e+01,9.95802e-01
7.50248e+01,9.11171e+01,9.95809e-01
7.51247e+01,9.56126e+01,9.95824e-01
7.52246e+01,9.67838e+01,9.95832e-01
7.53245e+01,8.77928e+01,9.95847e-01
7.54244e+01,8.22212e+01,9.95854e-01
7.55243e+01,8.72162e+01,9.95867e-01
7.56242e+01,9.13634e+01,9.95874e-01
7.57241e+01,9.28619e+01,9.95889e-01
7.58240e+01,9.43604e+01,9.95896e-01
7.59239e+01,9.58589e+01,9.95911e-01
7.60238e+01,9.25926e+01,9.95919e-01
7.61237e+01,7.41111e+01,9.95933e-01
7.62236e+01,6.15355e+01,9.95938e-01
7.63235e+01,6.80290e+01,9.95948e-01
7.64234e+01,7.53423e+01,9.95954e-01
7.65233e+01,8.53323e+01,9.95967e-01
7.66232e+01,8.92843e+01,9.95974e-01
7.67231e+01,7.33003e+01,9.95987e-01
7.68230e+01,6.41081e+01,9.95993e-01
7.69229e+01,7.75946e+01,9.96003e-01
7.70228e+01,8.84565e+01,9.96010e-01
7.71227e+01,9.04545e+01,9.96024e-01
7.72226e+01,8.99640e+01,9.96031e-01
7.73225e+01,8.09730e+01,9.96045e-01
7.74224e+01,7.53453e+01,9.96052e-01
7.75223e+01,8.13393e+01,9.96064e-01
7.76222e+01,8.56667e+01,9.96071e-01
7.77221e+01,8.41682e+01,9.96084e-01
7.78220e+01,8.30000e+01,9.96091e-01
7.79219e+01,8.30000e+01,9.96104e-01
7.80218e+01,8.36547e+01,9.96111e-01
7.81217e+01,8.66517e+01,9.96124e-01
7.82216e+01,8.74865e+01,9.96131e-01
7.83215e+01,8.04935e+01,9.96145e-01
7.84214e+01,7.68208e+01,9.96151e-01
7.85213e+01,8.53123e+01,9.96164e-01
7.86212e+01,8.95596e+01,9.96171e-01
7.87211e+01,7.80711e+01,9.96184e-01
7.88210e+01,7.22583e+01,9.96190e-01
7.89209e+01,8.77427e+01,9.96203e-01
7.90208e+01,9.62523e+01,9.96210e-01
7.91207e+01,7.82703e+01,9.96225e-01
7.92206e+01,6.66807e+01,9.96230e-01
7.93205e+01,7.96677e+01,9.96242e-01
7.94204e+01,8.98979e+01,9.96248e-01
7.95203e+01,8.93984e+01,9.96263e-01
7.96202e+01,8.79890e+01,9.96270e-01
7.97201e+01,8.29940e+01,9.96284e-01
7.98200e+01,7.87998e+01,9.96290e-01
7.99199e+01,7.78008e+01,9.96303e-01
8.00198e+01,7.60090e+01,9.96309e-01
8.01197e+01,7.10140e+01,9.96321e-01
8.02196e+01,6.64114e+01,9.96326e-01
8.03195e+01,6.34144e+01,9.96337e-01
8.04194e+01,6.24565e+01,9.96342e-01
8.05193e+01,6.99489e+01,9.96352e-01
8.06192e+01,7.65766e+01,9.96358e-01
8.07191e+01,7.95736e+01,9.96370e-01
8.08190e+01,8.17147e+01,9.96376e-01
8.09189e+01,8.02162e+01,9.96389e-01
8.10188e+01,7.91882e+01,9.96396e-01
8.11187e+01,8.01872e+01,9.96408e-01
8.12186e+01,7.93243e+01,9.96415e-01
8.13185e+01,7.03333e+01,9.96427e-01
8.14184e+01,6.36446e+01,9.96432e-01
8.15183e+01,6.71411e+01,9.96443e-01
8.16182e+01,7.08198e+01,9.96448e-01
8.17181e+01,7.53153e+01,9.96460e-01
8.18180e+01,7.72883e+01,9.96466e-01
8.19179e+01,6.77978e+01,9.96478e-01
8.20178e+01,6.03564e+01,9.96483e-01
8.21177e+01,6.23544e+01,9.96493e-01
8.22176e+01,6.46166e+01,9.96498e-01
8.23175e+01,6.81131e+01,9.96508e-01
8.24174e+01,7.05646e+01,9.96514e-01
8.25173e+01,6.80671e+01,9.96525e-01
8.26172e+01,6.67748e+01,9.96530e-01
8.27171e+01,7.12703e+01,9.96541e-01
8.28170e+01,7.51702e+01,9.96547e-01
8.29169e+01,7.61692e+01,9.96559e-01
8.30168e+01,7.55706e+01,9.96565e-01
8.31167e+01,6.70791e+01,9.96577e-01
8.32166e+01,5.86707e+01,9.96582e-01
8.33165e+01,5.06787e+01,9.96591e-01
8.34164e+01,4.59700e+01,9.96595e-01
8.35163e+01,5.79580e+01,9.96602e-01
8.36162e+01,6.76757e+01,9.96607e-01
8.37161e+01,6.56777e+01,9.96618e-01
8.38160e+01,6.40000e+01,9.96623e-01
8.39159e+01,6.40000e+01,9.96633e-01
8.40158e+01,6.52653e+01,9.96639e-01
8.41157e+01,7.32573e+01,9.96649e-01
8.42156e+01,7.83604e+01,9.96655e-01
8.43155e+01,6.78709e+01,9.96668e-01
8.44154e+01,5.97708e+01,9.96673e-01
8.45153e+01,6.47658e+01,9.96682e-01
8.46152e+01,6.85435e+01,9.96688e-01
8.47151e+01,6.55465e+01,9.96698e-01
8.48150e+01,6.30751e+01,9.96704e-01
8.49149e+01,6.35746e+01,9.96714e-01
8.50148e+01,6.34074e+01,9.96719e-01
8.51147e+01,5.94114e+01,9.96729e-01
8.52146e+01,5.62192e+01,9.96733e-01
8.53145e+01,5.77177e+01,9.96742e-01
8.54144e+01,5.97928e+01,9.96747e-01
8.55143e+01,6.52873e+01,9.96757e-01
8.56142e+01,6.98579e+01,9.96762e-01
8.57141e+01,6.88589e+01,9.96773e-01
8.58140e+01,6.80701e+01,9.96779e-01
8.59139e+01,6.85696e+01,9.96790e-01
8.60138e+01,6.87928e+01,9.96795e-01
8.61137e+01,6.72943e+01,9.96806e-01
8.62136e+01,6.49790e+01,9.96811e-01
8.63135e+01,5.74865e+01,9.96821e-01
8.64134e+01,5.13353e+01,9.96826e-01
8.65133e+01,5.38328e+01,9.96834e-01
8.66132e+01,5.73213e+01,9.96838e-01
8.67131e+01,6.73113e+01,9.96848e-01
8.68130e+01,7.58699e+01,9.96854e-01
8.69129e+01,7.48709e+01,9.96866e-01
8.70128e+01,7.36156e+01,9.96872e-01
8.71127e+01,7.06186e+01,9.96883e-01
8.72126e+01,6.83784e+01,9.96889e-01
8.73125e+01,7.13754e+01,9.96900e-01
8.74124e+01,7.36897e+01,9.96906e-01
8.75123e+01,7.11922e+01,9.96917e-01
8.76122e+01,6.77177e+01,9.96923e-01
8.77121e+01,5.72282e+01,9.96933e-01
8.78120e+01,4.85405e+01,9.96937e-01
8.79119e+01,5.30360e+01,9.96945e-01
8.80118e+01,5.87718e+01,9.96950e-01
8.81117e+01,7.37568e+01,9.96960e-01
8.82116e+01,8.50260e+01,9.96966e-01
8.83115e+01,6.80430e+01,9.96979e-01
8.84114e+01,5.35706e+01,9.96984e-01
8.85113e+01,5.85656e+01,9.96993e-01
8.86112e+01,6.26637e+01,9.96997e-01
8.87111e+01,5.96667e+01,9.97007e-01
8.88110e+01,5.70000e+01,9.97012e-01
8.89109e+01,5.70000e+01,9.97021e-01
8.90108e+01,5.74324e+01,9.97026e-01
8.91107e+01,6.14284e+01,9.97035e-01
8.92106e+01,6.46286e+01,9.97040e-01
8.93105e+01,6.11321e+01,9.97050e-01
8.94104e+01,5.81562e+01,9.97055e-01
8.95103e+01,5.96547e+01,9.97064e-01
8.96102e+01,6.20721e+01,9.97069e-01
8.97101e+01,7.25616e+01,9.97079e-01
8.98100e+01,8.00981e+01,9.97086e-01
8.99099e+01,6.11171e+01,9.97098e-01
9.00098e+01,4.45886e+01,9.97102e-01
9.01097e+01,5.05826e+01,9.97109e-01
9.02096e+01,5.57117e+01,9.97113e-01
9.03095e+01,5.27147e+01,9.97122e-01
9.04094e+01,5.01882e+01,9.97126e-01
9.05093e+01,5.21862e+01,9.97134e-01
9.06092e+01,5.44144e+01,9.97139e-01
9.07091e+01,5.89099e+01,9.97147e-01
9.08090e+01,6.28198e+01,9.97152e-01
9.09089e+01,6.08218e+01,9.97162e-01
9.10088e+01,5.82072e+01,9.97167e-01
9.11087e+01,4.92162e+01,9.97176e-01
9.12086e+01,4.13013e+01,9.97180e-01
9.13085e+01,4.47978e+01,9.97186e-01
9.14084e+01,4.83784e+01,9.97190e-01
9.15083e+01,5.28739e+01,9.97198e-01
9.16082e+01,5.71642e+01,9.97202e-01
9.17081e+01,5.91622e+01,9.97211e-01
9.18080e+01,6.08398e+01,9.97216e-01
9.19079e+01,5.88418e+01,9.97226e-01
9.20078e+01,5.68438e+01,9.97231e-01
9.21077e+01,5.48458e+01,9.97240e-01
9.22076e+01,5.27337e+01,9.97244e-01
9.23075e+01,4.92372e+01,9.97252e-01
9.24074e+01,4.58519e+01,9.97256e-01
9.25073e+01,4.38539e+01,9.97263e-01
9.26072e+01,4.25045e+01,9.97267e-01
9.27071e+01,4.94975e+01,9.97274e-01
9.28070e+01,5.64905e+01,9.97278e-01
9.29069e+01,6.34835e+01,9.97287e-01
9.30068e+01,6.90811e+01,9.97292e-01
9.31067e+01,5.55946e+01,9.97303e-01
9.32066e+01,4.30661e+01,9.97307e-01
9.33065e+01,4.40651e+01,9.97314e-01
9.34064e+01,4.53844e+01,9.97317e-01
9.35063e+01,5.13784e+01,9.97325e-01
9.36062e+01,5.70621e+01,9.97329e-01
9.37061e+01,5.80611e+01,9.97338e-01
9.38060e+01,5.92102e+01,9.97343e-01
9.39059e+01,6.27067e+01,9.97353e-01
9.40058e+01,6.55646e+01,9.97358e-01
9.41057e+01,5.80721e+01,9.97368e-01
9.42056e+01,5.12242e+01,9.97372e-01
9.43055e+01,5.52202e+01,9.97380e-01
9.44054e+01,5.85135e+01,9.97385e-01
9.45053e+01,4.95225e+01,9.97394e-01
9.46052e+01,4.10521e+01,9.97398e-01
9.47051e+01,4.20511e+01,9.97404e-01
9.48050e+01,4.32503e+01,9.97408e-01
9.49049e+01,4.82452e+01,9.97415e-01
9.50048e+01,5.32643e+01,9.97419e-01
9.51047e+01,5.87588e+01,9.97427e-01
9.52046e+01,6.37007e+01,9.97432e-01
9.53045e+01,5.72072e+01,9.97442e-01
9.54044e+01,5.10220e+01,9.97447e-01
9.55043e+01,5.15215e+01,9.97455e-01
9.56042e+01,5.19159e+01,9.97459e-01
9.57041e+01,4.99179e+01,9.97467e-01
9.58040e+01,4.82002e+01,9.97471e-01
9.59039e+01,5.31952e+01,9.97479e-01
9.60038e+01,5.78669e+01,9.97483e-01
9.61037e+01,5.43704e+01,9.97492e-01
9.62036e+01,5.11261e+01,9.97497e-01
9.63035e+01,5.46226e+01,9.97505e-01
9.64034e+01,5.75746e+01,9.97509e-01
9.65033e+01,4.50871e+01,9.97518e-01
9.66032e+01,3.32723e+01,9.97521e-01
9.67031e+01,4.17638e+01,9.97527e-01
9.68030e+01,5.00751e+01,9.97531e-01
9.69029e+01,5.25726e+01,9.97539e-01
9.70028e+01,5.47758e+01,9.97543e-01
9.71027e+01,4.67838e+01,9.97551e-01
9.72026e+01,3.89740e+01,9.97555e-01
9.73025e+01,3.79750e+01,9.97561e-01
9.74024e+01,3.70601e+01,9.97564e-01
9.75023e+01,3.95576e+01,9.97570e-01
9.76022e+01,4.21542e+01,9.97573e-01
9.77021e+01,4.91471e+01,9.97580e-01
9.78020e+01,5.59700e+01,9.97584e-01
9.79019e+01,5.44715e+01,9.97593e-01
9.80018e+01,5.29459e+01,9.97598e-01
9.81017e+01,4.99489e+01,9.97606e-01
9.82016e+01,4.68959e+01,9.97610e-01
9.83015e+01,4.04024e+01,9.97617e-01
9.84014e+01,3.41331e+01,9.97620e-01
9.85013e+01,4.36236e+01,9.97626e-01
9.86012e+01,5.29520e+01,9.97630e-01
9.87011e+01,4.89560e+01,9.97638e-01
9.88010e+01,4.50000e+01,9.97642e-01
9.89009e+01,4.50000e+01,9.97649e-01
9.90008e+01,4.49720e+01,9.97652e-01
9.91007e+01,4.14755e+01,9.97659e-01
9.92006e+01,3.80330e+01,9.97663e-01
9.93005e+01,4.35275e+01,9.97669e-01
9.94004e+01,4.90020e+01,9.97673e-01
9.95003e+01,4.95015e+01,9.97680e-01
9.96002e+01,7.88388e+01,9.97686e-01
9.97001e+01,1.44694e+04,9.98272e-01
9.98000e+01,2.88600e+04,1.00000e+00
