# NAME: MORFEO_t5000.txt
# DATE: 07/05/2025
# VERSION: 1.0
# ORIGIN: MORFEO_transmission.xlsx
#
# Wavelength[um],emissivity
6.779999999999999361e-01,4.2704E-01
6.789999999999999369e-01,4.2947E-01
6.799999999999999378e-01,4.3638E-01
6.809999999999999387e-01,4.4448E-01
6.819999999999999396e-01,4.4546E-01
6.829999999999999405e-01,4.3458E-01
6.839999999999999414e-01,4.2099E-01
6.849999999999999423e-01,4.1184E-01
6.859999999999999432e-01,4.0700E-01
6.869999999999999440e-01,4.0961E-01
6.879999999999999449e-01,4.1309E-01
6.889999999999999458e-01,4.1656E-01
6.899999999999999467e-01,4.1952E-01
6.909999999999999476e-01,4.2149E-01
6.919999999999999485e-01,4.2236E-01
6.929999999999999494e-01,4.2276E-01
6.939999999999999503e-01,4.2368E-01
6.949999999999999512e-01,4.2619E-01
6.959999999999999520e-01,4.2976E-01
6.969999999999999529e-01,4.3385E-01
6.979999999999999538e-01,4.3842E-01
6.989999999999999547e-01,4.4260E-01
6.999999999999999556e-01,4.4647E-01
7.009999999999999565e-01,4.4988E-01
7.019999999999999574e-01,4.5271E-01
7.029999999999999583e-01,4.5488E-01
7.039999999999999591e-01,4.5554E-01
7.049999999999998490e-01,4.5302E-01
7.059999999999999609e-01,4.4614E-01
7.069999999999998508e-01,4.3603E-01
7.079999999999999627e-01,4.2564E-01
7.089999999999999636e-01,4.2700E-01
7.099999999999999645e-01,4.3096E-01
7.109999999999998543e-01,4.3548E-01
7.119999999999999662e-01,4.4018E-01
7.129999999999998561e-01,4.4449E-01
7.139999999999999680e-01,4.4848E-01
7.149999999999998579e-01,4.5209E-01
7.159999999999999698e-01,4.5532E-01
7.169999999999999707e-01,4.5764E-01
7.179999999999999716e-01,4.5753E-01
7.189999999999998614e-01,4.5279E-01
7.199999999999999734e-01,4.4389E-01
7.209999999999998632e-01,4.3305E-01
7.219999999999999751e-01,4.2334E-01
7.229999999999998650e-01,4.2183E-01
7.239999999999999769e-01,4.2777E-01
7.249999999999999778e-01,4.3267E-01
7.259999999999999787e-01,4.3392E-01
7.269999999999998685e-01,4.3234E-01
7.279999999999999805e-01,4.3011E-01
7.289999999999998703e-01,4.2877E-01
7.299999999999999822e-01,4.2986E-01
7.309999999999998721e-01,4.3432E-01
7.319999999999999840e-01,4.4148E-01
7.329999999999999849e-01,4.4899E-01
7.339999999999999858e-01,4.5182E-01
7.349999999999998757e-01,4.4752E-01
7.359999999999999876e-01,4.3724E-01
7.369999999999998774e-01,4.2633E-01
7.379999999999999893e-01,4.3023E-01
7.389999999999998792e-01,4.3515E-01
7.399999999999999911e-01,4.3709E-01
7.409999999999999920e-01,4.3558E-01
7.419999999999999929e-01,4.3306E-01
7.429999999999998828e-01,4.3214E-01
7.439999999999999947e-01,4.3340E-01
