# NAME: ELT_mirror_reflectivity.txt
# DATE: 30/03/2022
# TYPE:  Mirror Throughput
# VERSION: 1.2
# ORIGIN: ELT Throughput Budget Baseline Tabulated Data.xlsx
#	ESO-253082_4 2019-12-27
# 	Reflectivity M1--M6
# 
# Wavelength[um],throughput
1.685,9.075E-01
1.690,9.100E-01
1.695,9.107E-01
1.700,9.064E-01
1.705,9.095E-01
1.710,9.063E-01
1.715,9.078E-01
1.720,9.090E-01
1.725,9.075E-01
1.730,9.091E-01
1.735,9.098E-01
1.740,9.069E-01
1.745,9.084E-01
1.750,9.097E-01
1.755,9.096E-01
1.760,9.097E-01
1.765,9.097E-01
1.770,9.099E-01
1.775,9.128E-01
1.780,9.129E-01
1.785,9.115E-01
1.790,9.119E-01
1.795,9.142E-01
1.800,9.091E-01
1.805,9.119E-01
1.810,9.131E-01
1.815,9.145E-01
1.820,9.149E-01
1.825,9.171E-01
1.830,9.153E-01
1.835,9.137E-01
1.840,9.142E-01
1.845,9.151E-01
1.850,9.202E-01
1.855,9.181E-01
1.860,9.146E-01
1.865,9.165E-01
1.870,9.167E-01
1.875,9.150E-01
1.880,9.180E-01
1.885,9.184E-01
1.890,9.180E-01
1.895,9.183E-01
1.900,9.183E-01
1.905,9.144E-01
1.910,9.198E-01
1.915,9.213E-01
1.920,9.179E-01
1.925,9.190E-01
1.930,9.195E-01
1.935,9.223E-01
1.940,9.197E-01
1.945,9.248E-01
1.950,9.211E-01
1.955,9.223E-01
1.960,9.234E-01
1.965,9.221E-01
1.970,9.245E-01
1.975,9.211E-01
1.980,9.229E-01
1.985,9.231E-01
1.990,9.231E-01
1.995,9.232E-01
2.000,9.254E-01
2.005,9.244E-01
2.010,9.261E-01
2.015,9.260E-01
2.020,9.274E-01
2.025,9.274E-01
2.030,9.279E-01
2.035,9.288E-01
2.040,9.279E-01
2.045,9.280E-01
2.050,9.319E-01
2.055,9.286E-01
2.060,9.303E-01
2.065,9.315E-01
2.070,9.313E-01
2.075,9.303E-01
2.080,9.347E-01
2.085,9.294E-01
2.090,9.342E-01
2.095,9.343E-01
2.100,9.335E-01
2.105,9.332E-01
2.110,9.353E-01
2.115,9.352E-01
2.120,9.358E-01
2.125,9.366E-01
2.130,9.371E-01
2.135,9.366E-01
2.140,9.373E-01
2.145,9.384E-01
2.150,9.363E-01
2.155,9.394E-01
2.160,9.386E-01
2.165,9.402E-01
2.170,9.381E-01
2.175,9.411E-01
2.180,9.384E-01
2.185,9.414E-01
2.190,9.383E-01
2.195,9.404E-01
2.200,9.397E-01
2.205,9.411E-01
2.210,9.420E-01
2.215,9.454E-01
2.220,9.423E-01
2.225,9.448E-01
2.230,9.436E-01
2.235,9.433E-01
2.240,9.402E-01
2.245,9.446E-01
2.250,9.480E-01
2.255,9.532E-01
2.260,9.540E-01
2.265,9.673E-01
2.270,9.631E-01
2.275,9.564E-01
2.280,9.504E-01
2.285,9.420E-01
2.290,9.446E-01
2.295,9.456E-01
2.300,9.481E-01
2.305,9.457E-01
2.310,9.466E-01
2.315,9.446E-01
2.320,9.470E-01
2.325,9.490E-01
2.330,9.475E-01
2.335,9.511E-01
2.340,9.479E-01
2.345,9.480E-01
2.350,9.511E-01
2.355,9.485E-01
2.360,9.512E-01
2.365,9.506E-01
2.370,9.518E-01
2.375,9.541E-01
2.380,9.501E-01
2.385,9.528E-01
2.390,9.496E-01
2.395,9.504E-01
2.400,9.476E-01
2.405,9.477E-01
2.410,9.537E-01
2.415,9.530E-01
2.420,9.496E-01
2.425,9.475E-01
2.430,9.524E-01
2.435,9.514E-01
2.440,9.511E-01
2.445,9.539E-01
2.450,9.551E-01
2.455,9.538E-01
2.460,9.517E-01
2.465,9.543E-01
2.470,9.554E-01
2.475,9.548E-01
2.480,9.568E-01
2.485,9.540E-01
2.490,9.584E-01
2.495,9.543E-01
2.500,9.531E-01
24.00,9.651E-01
