#G140H grating Throughput
#Wavelength [um], Throughput
0.59, 0.0
0.6, 0.0
0.6358208955223881, 0.0
0.7014925373134329, 0.010526315789473717
0.7462686567164178, 0.028070175438596523
0.7880597014925372, 0.05263157894736842
0.835820895522388, 0.08245614035087717
0.8865671641791044, 0.10614035087719298
0.9313432835820896, 0.1464912280701754
0.9761194029850746, 0.19736842105263158
1.0059701492537314, 0.22543859649122805
1.0417910447761194, 0.24649122807017543
1.0955223880597016, 0.2824561403508772
1.1432835820895522, 0.29298245614035084
1.2, 0.3307017543859649
1.2985074626865671, 0.3333333333333333
1.3970149253731343, 0.32105263157894737
